电影名,电影年份,电影数据,电影标签,电影时长,电影评分,电影语言,电影导演,电影作者,电影口号,电影描述
幸运有八只触手,(2026),2026-05-08 (US),"剧情,悬疑",1h 51m,84,英语,约翰·惠廷顿,奥利维亚·纽曼,Brighter together.,一名寡妇在小镇水族馆值夜班，与一只聪明的章鱼及一个迷茫的年轻人培养出独特情谊。
人类,(2015),2015-09-12 (FR),纪录,3h 11m,84,法语,,亚恩·阿蒂斯－贝特朗,简介,"每个人背后都有一个足以撼动心灵的故事。法国知名的摄影师Yann Arthus-Bertrand就用了3年的时间，走访全球60个国家，让2,020位不同肤色、种族、性别的人，在镜头前诉说自己的故事。由乌克兰的自由战士、马里的农民，到美国的死囚，各人的故事集结成一部纪录片《人类》。纪录片中，受访者只站在纯黑色的背景中细诉自己的故事，没有花巧的剪接，甚至不多赘述受访者的身份。每个人自身的经历，足以为观众带来震撼。"
天堂电影院,(1988),2019-06-15 (CN),"剧情,爱情",2h 4m,84,意大利语,,朱塞佩·托纳多雷,青春、友谊与电影永恒魅力的颂扬。,意大利南部的小镇上，男孩多多从小便痴迷电影，总爱跑到“天堂电影院”观看放映，并因此结识了放映师艾佛特。一个古灵精怪，一个嘴硬心软，两人在一卷卷胶片和无数银幕故事中逐渐成为忘年之交，电影院也成了多多童年最重要的地方。一次意外改变了两人的生活，多多开始更加深入地走进电影的世界。随着年岁增长，他经历了青春、初恋与离别，也逐渐发现小镇之外还有更广阔的人生。在艾佛特的陪伴与指引下，多多不得不面对一个重要的选择：是留在熟悉的故乡，还是离开这里，去寻找真正属于自己的未来……
上帝之城,(2002),2015-04-18 (CN),"剧情,犯罪",2h 9m,84,葡萄牙语,保罗·林斯,费尔南多·梅里尔斯,你若逃跑，野兽会抓住你；你若停留，野兽会吞噬你。,巴西里约热内卢的贫民窟，这里是“上帝之城”，更是魔鬼也会叹息着转身的地方。
指环王2：双塔奇兵,(2002),2003-04-25 (CN),"冒险,奇幻,动作",3h 55m,84,英语,J.R.R.托尔金,彼得·杰克逊,一股新力量正在崛起！,在J.R.R.托尔金史诗三部曲的第二篇章中，护戒同盟队面对难以想象的敌军与诡谲阴谋，同时见证了远古奇迹与同胞未觉醒的力量。
每个人的每件事,(2019),2019-03-10 (US),纪录,1h 56m,84,英语,Sebastian Jones,Ramez Silyan,简介,从 Lil Peep卧室录制歌曲到全球巡回演出，以及他留下的巨大影响。
大卫·爱登堡：地球上的一段生命旅程,(2020),2020-09-28 (GB),"纪录,剧情",1h 23m,84,英语,Keith Scholey,艾雷斯泰·法瑟吉尔,简介,大卫·爱登堡讲述了他的一生以及地球上生命的进化史，以此来哀悼自然栖息地的消失，并表达了对未来的愿景。
蛊惑兄弟,(2000),2000-09-15 (BR),"喜剧,剧情,奇幻,爱情",1h 44m,84,葡萄牙语,Ariano Suassuna,Guel Arraes,Lying with faith is not always a sin.,智高和杰克，一对患难穷兄弟，四出寻找工作，最终在面包店找到差事。但店主极为刻薄，兄弟俩的食物比狗还要差。阴差阳错，他们弄死了店主的狗，更要哄骗神父替小狗祈福，闹出笑话连篇。及后智高暗恋大财主之女路仙霞。但智高过于害羞，久久未能成事；杰克唯有替智高制造机会。一日，镇里来了一班悍匪，洗劫村民之余，更进行杀戮游戏……
罗小黑战记,(2019),2019-08-27 (CN),"动画,奇幻,动作",1h 42m,84,中文,彭可欣,MTJJ,有你的地方 就是家,在熙攘的人类世界里，许多妖精隐匿其中，与人类相安无事地生活着。猫妖罗小黑因为家园遭到破坏，被迫开始流浪。在旅途中，他先后遇到妖精同类与人类伙伴，并逐渐卷入人类与妖精之间的纷争。面对截然不同的立场与选择，小黑也开始寻找真正属于自己的归宿……
妙不可言,(2021),2021-06-17 (MX),"家庭,剧情",1h 28m,84,西班牙语,Estéfani Enríquez Soto,Ernesto Contreras,There are encounters that change your life,生活是如此奇妙且难以预测，有时会在最不经意的地方发现幸福：一位七旬老妪和她的少年邻居之间产生了深厚的友谊。
惊魂记,(1960),1960-06-22 (US),"恐怖,惊悚,悬疑",1h 49m,84,英语,罗伯特·布洛克,阿尔弗雷德·希区柯克,一种全新的、截然不同的银幕刺激！,凤凰城一女秘书卷走客户四万美元公款，仓皇出逃途中入住一家偏僻汽车旅馆。旅馆经营者诺曼·贝茨是位受其母亲支配的年轻人。
飞越疯人院,(1975),2026-04-16 (CN),剧情,2h 15m,84,英语,肯·克西,米洛斯·福尔曼,如果他疯了，那你怎么了？,在州立精神病院里休养总比蹲监狱强，对吧？兰德尔·P·麦克墨菲（杰克·尼科尔森 饰），一个血管里流淌着闪电、舌绽莲花的自由派骗子，装疯混进了他所谓的“疯子们”中间。很快，他那极具感染力的无序感便与麻木的例行程序发生冲撞。当世界大赛正酣时，这群被镇静剂泡透的家伙怎能披着浴袍拖沓度日？这意味着战争！一方是麦克墨菲，另一方则是轻声细语的拉契特护士（路易丝·弗莱彻 饰）——这位影史上最冷酷可怕的恶魔之一。而赌注，是整个病房每位患者的命运。
蜘蛛侠：平行宇宙,(2018),2018-12-21 (CN),"动画,动作,冒险,科幻",1h 56m,84,英语,菲尔·洛德,罗德尼·罗斯曼,任何人都可以成为英雄。,布鲁克林少年迈尔斯·莫拉莱斯一直在努力适应新的学校和家庭期待，一次意外却让他被一只神秘蜘蛛咬伤，并逐渐获得了与蜘蛛侠相似的能力。与此同时，犯罪头目金并秘密启动了一台能够打开平行宇宙的时空对撞机，导致不同世界之间的界限开始崩塌。来自另一个宇宙的彼得·帕克因此出现在迈尔斯面前，随后更多拥有不同身份与能力的蜘蛛侠也接连来到这个世界。面对越来越失控的危机，尚未真正掌握力量的迈尔斯不得不和这些陌生的蜘蛛侠并肩行动，并寻找属于自己的英雄之路……
声之形,(2016),2017-09-08 (CN),"动画,剧情,爱情",2h 10m,84,日语,吉田玲子,山田尚子,有时答案就是学会倾听，如此简单。,西宫硝子（早见沙织 配音）生来患有听觉障碍，要依靠助听器和外界交流，口语发音也因此格外的古怪。小学时，硝子转入了一所新的学校，特殊的生理缺陷让她成为了班上引人注目的独特存在，她因此收获了坚实的友情，却也遭到了以男生石田将也（入野自由 配音）为首的小团体的孤立和排挤。随着时 间的推移，无心或有意的恶作剧渐渐升级，最终演变成为了无法挽回的伤害，硝子永远的消失在了众人的眼前。排挤硝子的事情曝光后，将也成为了下一个被欺负的对象，孤独痛苦的他终于理解了硝子的隐忍和温柔，只是他再也没有机会跟硝子道歉了。一次偶然中，将也同硝子重逢了，命运的齿轮重新开始了转动。
保护者,(2026),2026-03-06 (US),"动作,惊悚",1h 32m,84,英语,Mun-Bong Seub,阿德里安·格鲁伯格,Never get between a mother and her child.,退役军人尼基与女儿克洛伊平静生活，却在废弃工厂醒来后发现女儿遭绑架，她必须重返黑暗世界，对抗人贩子、警察与军方，在72小时黄金救援期内救回女儿。
星球大战5：帝国反击战,(1980),1980-05-21 (US),"冒险,动作,科幻",2h 4m,84,英语,利·布拉克特,厄文·克什纳,冒险在继续……,星球大战事件三年后，帝国军队继续追捕义军。义军在霍斯冰原星球战败后，卢克前往达戈巴星球，跟随自共和国覆灭后隐居的绝地大师尤达进行训练。为诱使卢克堕入黑暗面，达斯·维达将年轻的天行者引入贝斯平云城的陷阱。在与西斯尊主的激烈光剑对决中，卢克面对一个惊人的真相。[20世纪福克斯]
素媛,(2013),2013-10-02 (KR),剧情,2h 2m,84,朝鲜语,曹重勋,李濬益,在最痛的地方，开出最美的花,素媛是一个生活在普通家庭里的小女孩，每天在父母的疼爱中平静成长。一个下着雨的早晨，她独自上学途中遭到陌生男子性侵，原本无忧无虑的生活从此被彻底改变。严重的身体伤害和心理创伤让素媛变得恐惧而敏感，甚至一度无法接受父亲的靠近，而突如其来的打击也让整个家庭陷入痛苦。面对女儿难以言说的伤痕，父母和身边的人小心翼翼地陪伴着她，用各自的方式重新给予她安全与温暖。在漫长的伤痛之后，这个家庭也开始努力寻找重新生活下去的希望……
哈尔的移动城堡,(2004),2004-04-24 (CN),"奇幻,动画,冒险",1h 59m,84,日语,戴安娜·温尼·琼斯,宫崎骏,带着心爱的人在天空飞翔。,18岁少女苏菲在街上遇到神秘青年霍尔，霍尔忽然抱起苏菲一同飞上天空，苏菲的心从此深深地被霍尔吸引。然而那天晚上，苏菲被名叫荒地魔女的女巫施了魔法，外表变成了90岁的老婆婆。心灰意冷的苏菲只好整理行李，远离人群，前往霍尔在荒郊野外的城堡……
